cd_cliente,cd_municipio,ds_endereco,nr_endereco,bairro
10259,4304630,SÍTIO SILVEIRA,3016,CONJUNTO MINAS CAIXA
10260,4304655,AEROPORTO SANTOS,2127,VILA VISTA ALEGRE
10261,4304663,QUADRA DE PEIXOTO,4608,NOVA VISTA
10262,4304671,RUA DE DA MATA,3276,BETÂNIA
10263,4304689,RECANTO PEIXOTO,3337,HORTO FLORESTAL
10264,4304697,LAGO DE DIAS,3513,PRIMEIRO DE MAIO
10265,4304705,AVENIDA CORREIA,1995,MARIANO DE ABREU
10266,4304713,VIADUTO TEIXEIRA,1941,VILA REAL 2ª SEÇÃO
10267,4304804,VIADUTO OLIVEIRA,807,VILA FORMOSA
10268,4304853,RODOVIA DE CORREIA,901,UNIVERSITÁRIO
10269,4304903,AEROPORTO DE PEIXOTO,101,PETROPOLIS
10270,4304952,PASSARELA DE BARROS,2684,TAQUARIL
10271,4305009,RECANTO SABRINA SOUZA,4841,MIRANTE
10272,4305108,SÍTIO DE PEREIRA,3485,VILA CALIFÓRNIA
10273,4305116,VILA DE ALVES,2858,VILA JARDIM SÃO JOSÉ
10274,4305124,LARGO AZEVEDO,3445,VILA PARAÍSO
10275,4305132,ESTAÇÃO DE CALDEIRA,2868,GRAÇA
10276,4305157,FAZENDA DE DA CUNHA,2008,CONJUNTO JARDIM FILADÉLFIA
10277,4305173,FAVELA RAQUEL COSTA,806,CONFISCO
10278,4305207,ESPLANADA LOPES,3726,VILA OURO MINAS
10279,4305306,TRAVESSA MOURA,4778,VILA DE SÁ
10280,4305355,RECANTO DE DA LUZ,1012,CONJUNTO JARDIM FILADÉLFIA
10281,4305371,LADEIRA RODRIGUES,619,TÚNEL DE IBIRITÉ
10282,4305405,VIELA COSTELA,3660,IPE
10283,4305439,CHÁCARA DE RIBEIRO,2397,TRES MARIAS
10284,4305447,VIELA DE FARIAS,2601,PALMEIRAS
10285,4305454,PRAÇA DE SILVA,3832,NOVO GLÓRIA
10286,4305504,LOTEAMENTO DAVI RAMOS,4010,CASTANHEIRA
10287,4305587,LAGO DE MELO,640,CAMPONESA 1ª SEÇÃO
10288,4305603,PÁTIO DE GONÇALVES,1621,VILA SATÉLITE
10289,4305702,ALAMEDA LUIZ GUSTAVO ARAÚJO,4850,CINQUENTENÁRIO
10290,4305801,PASSARELA BARBOSA,4011,VIRGÍNIA
10291,4305835,NÚCLEO DE RAMOS,4104,VILA ECOLÓGICA
10292,4305850,VIELA STELLA CORREIA,2574,VILA MINASLANDIA
10293,4305871,VIA DA ROSA,2536,EMBAÚBAS
10294,4305900,SÍTIO JÚLIA ARAÚJO,2125,VILA DE SÁ
10295,4305934,TRECHO EVELYN SILVEIRA,4756,DOM CABRAL
10296,4305959,PARQUE DE BARROS,3300,SÃO JORGE 2ª SEÇÃO
10297,4305975,FEIRA CASTRO,885,LOURDES
10298,4306007,TREVO PINTO,2844,URCA
10299,4306056,LAGOA DE DA ROCHA,418,TUPI B
10300,4306072,FAVELA FARIAS,1547,ALTO DAS ANTENAS
10301,4306106,AEROPORTO GUSTAVO ALVES,123,ACABA MUNDO
10302,4306130,VIELA GIOVANNA VIEIRA,4466,LORENA
10303,4306205,PRAIA MAITÊ MORAES,4294,ENGENHO NOGUEIRA
10304,4306304,CONDOMÍNIO THIAGO GONÇALVES,1651,ALTA TENSÃO 1ª SEÇÃO
10305,4306320,FEIRA DE ALMEIDA,4346,SANTO AGOSTINHO
10306,4306353,RESIDENCIAL MARTINS,1731,PALMARES
10307,4306379,TRAVESSA DE COSTELA,4081,JOÃO PINHEIRO
10308,4306403,FEIRA DE VIEIRA,4183,CAMPONESA 1ª SEÇÃO
10309,4306429,FEIRA DE DA CRUZ,2588,SÃO FRANCISCO
10310,4306452,VIELA NICOLAS FOGAÇA,1573,VISTA ALEGRE
10311,4306502,CONDOMÍNIO RYAN DIAS,4344,TIROL
10312,4306551,CAMPO GABRIELLY ALVES,2486,VILA SANTO ANTÔNIO BARROQUINHA
10313,4306601,TREVO MARCELO DA CRUZ,2864,LOURDES
10314,4306700,CONJUNTO KAMILLY MARTINS,1479,VILA BARRAGEM SANTA LÚCIA
10315,4306734,LARGO DE BARROS,2238,NAZARE
10316,4306759,VIELA MIGUEL DA PAZ,2835,SERRA
10317,4306767,CONDOMÍNIO PEDRO HENRIQUE MOURA,3675,JARDIM DO VALE
10318,4306809,PRAÇA MELO,1330,SÃO VICENTE
10319,4306908,CONJUNTO PIRES,4009,UNIVERSITÁRIO
10320,4306924,CONDOMÍNIO SALES,1656,VILA RICA
10321,4306932,QUADRA LUCAS CARDOSO,1409,CANADÁ
10322,4306957,FEIRA OLIVEIRA,1538,BARREIRO
10323,4306973,ESTAÇÃO DIOGO MONTEIRO,185,PRADO
10324,4307005,RESIDENCIAL DE NUNES,2735,PLANALTO
10325,4307054,LAGOA DA CONCEIÇÃO,4809,JARDIM DO VALE
10326,4307104,SETOR DE ARAÚJO,3582,VILA SANTO ANTÔNIO BARROQUINHA
10327,4307203,LOTEAMENTO DE DAS NEVES,2329,JARDINÓPOLIS
10328,4307302,CAMPO DE DUARTE,3616,VILA DO POMBAL
10329,4307401,JARDIM DE FREITAS,3015,VILA INDEPENDENCIA 2ª SEÇÃO
10330,4307450,ESPLANADA DE DA MATA,1751,JONAS VEIGA
10331,4307500,FAZENDA SALES,3630,VILA AEROPORTO
10332,4307559,VEREDA DE LIMA,4466,CASTANHEIRA
10333,4307609,PASSARELA DE COSTA,3348,EYMARD
10334,4307708,LAGO VIANA,3468,MONSENHOR MESSIAS
10335,4307807,CONDOMÍNIO OTÁVIO NOGUEIRA,2159,VILA MADRE GERTRUDES 1ª SEÇÃO
10336,4307815,VIADUTO DE RIBEIRO,355,VILA CANTO DO SABIÁ
10337,4307831,VIELA OTÁVIO NASCIMENTO,353,INDEPENDÊNCIA
10338,4307864,VILA ISADORA MORAES,1191,FLAVIO DE OLIVEIRA
10339,4307906,VIELA DE VIANA,452,TUPI A
10340,4308003,LAGOA CAMPOS,134,SÃO JORGE 2ª SEÇÃO
10341,4308052,PRAIA SILVA,4381,VILA CANTO DO SABIÁ
10342,4308078,LAGO THIAGO SALES,3922,BEIJA FLOR
10343,4308102,ESTRADA SILVEIRA,4700,INDAIÁ
10344,4308201,VIA MARCOS VINICIUS GONÇALVES,4883,ITAPOA
10345,4308250,TREVO HEITOR CAVALCANTI,2752,TRES MARIAS
10346,4308300,ESTAÇÃO ARAGÃO,267,LETICIA
10347,4308409,TRECHO DE MENDES,730,SANTA AMELIA
10348,4308433,CONDOMÍNIO CAMPOS,2386,NOVA AMERICA
10349,4308458,LARGO MATHEUS RIBEIRO,4632,DELTA
10350,4308508,SÍTIO RAFAEL ROCHA,2323,ALTO VERA CRUZ
10351,4308607,VEREDA LIMA,3078,TUPI A
10352,4308656,FAZENDA DA LUZ,3378,SÃO BERNARDO
10353,4308706,AVENIDA DE PORTO,258,AMBROSINA
10354,4308805,VEREDA SILVEIRA,4942,COPACABANA
10355,4308854,CONDOMÍNIO LUIZ MIGUEL DA MATA,1681,POMPÉIA
10356,4308904,AVENIDA JESUS,2782,SENHOR DOS PASSOS
10357,4309001,RECANTO ARTHUR CALDEIRA,4359,ACABA MUNDO
10358,4309050,PASSARELA DE PORTO,4998,CAPITÃO EDUARDO
10359,4309100,ESPLANADA CAUÊ NOVAES,4263,LOURDES
10360,4309126,RECANTO DE DA CUNHA,2462,CONJUNTO SANTA MARIA
10361,4309159,ÁREA DE AZEVEDO,237,BONSUCESSO
10362,4309209,LAGO DA ROSA,503,SÃO LUIZ
10363,4309258,LARGO DE ARAÚJO,1339,MIRTES
10364,4309308,RESIDENCIAL DE CARVALHO,2219,VISTA ALEGRE
10365,4309407,NÚCLEO DE FERNANDES,299,ACAIACA
10366,4309506,LADEIRA LUIGI VIANA,3389,CABANA DO PAI TOMÁS
10367,4309555,ALAMEDA ARAGÃO,1573,VITORIA
10368,4309571,QUADRA DE CASTRO,4808,AEROPORTO
10369,4309605,PÁTIO NUNES,3313,CAIÇARAS
10370,4309654,FAZENDA FREITAS,433,ESPERANÇA
10371,4309704,RESIDENCIAL MONTEIRO,3242,PALMARES
10372,4309753,LAGO DE MENDES,4709,VILA UNIÃO
10373,4309803,ESTAÇÃO DE DA COSTA,752,ESPERANÇA
10374,4309902,LAGO SILVEIRA,2629,PRADO
10375,4309951,ESTAÇÃO PEDRO HENRIQUE FOGAÇA,3698,BURITIS
10376,4310009,SETOR LEVI VIEIRA,4136,XANGRI-LÁ
10377,4310108,ESTRADA JÚLIA GONÇALVES,1944,CONJUNTO CELSO MACHADO
10378,4310207,LARGO DE FOGAÇA,773,JARDIM MONTANHÊS
10379,4310306,QUADRA DANIEL SILVEIRA,3612,ZILAH SPOSITO
10380,4310330,CONDOMÍNIO LUIZ MIGUEL LIMA,4656,GRANJA WERNECK
10381,4310363,CONJUNTO ALEXIA COSTA,4405,EYMARD
10382,4310405,VIADUTO DE FARIAS,789,JOÃO PINHEIRO
10383,4310413,VIELA VINICIUS DA CRUZ,3589,SÃO FRANCISCO
10384,4310439,LARGO DE SILVEIRA,2460,CAMARGOS
10385,4310462,VIELA SOPHIE VIEIRA,2896,VILA COQUEIRAL
10386,4310504,ESPLANADA NOVAES,2125,SILVEIRA
10387,4310538,LAGOA DE RAMOS,2130,CAETANO FURQUIM
10388,4310553,CHÁCARA SABRINA MONTEIRO,1780,VILA MADRE GERTRUDES 4ª SEÇÃO
10389,4310579,TREVO ANA CAROLINA ARAÚJO,789,NOVA PAMPULHA
10390,4310603,PRAIA RAMOS,704,PALMARES
10391,4310652,MORRO DANIEL MORAES,659,HAVAÍ
10392,4310702,RECANTO BENÍCIO DA COSTA,4113,CORAÇÃO EUCARÍSTICO
10393,4310751,COLÔNIA CAMPOS,4365,BOA VIAGEM
10394,4310801,RECANTO DE VIANA,3238,CAMPO ALEGRE
10395,4310850,RESIDENCIAL DE DA LUZ,1662,VILA SUZANA PRIMEIRA SEÇÃO
10396,4310876,PRAÇA ALANA CUNHA,3653,LUXEMBURGO
10397,4310900,PARQUE ALANA DA LUZ,4800,HAVAÍ
10398,4311007,LAGO MELO,1661,ALTA TENSÃO 1ª SEÇÃO
10399,4311106,VALE DANILO FARIAS,1272,PLANALTO
10400,4311122,FAVELA EMANUELLY DA COSTA,2804,VILA INDEPENDENCIA 1ª SEÇÃO
10401,4311130,ESTRADA PEIXOTO,4049,ADEMAR MALDONADO
10402,4311155,TRECHO GONÇALVES,531,ERNESTO NASCIMENTO
10403,4311205,TREVO DE MORAES,2113,OLARIA
10404,4311239,VILA CARLOS EDUARDO COSTELA,2313,SANTA INÊS
10405,4311254,COLÔNIA PEREIRA,2786,VILA BATIK
10406,4311270,VALE ESTHER FERREIRA,174,VILA OESTE
10407,4311304,CAMPO DE RIBEIRO,1818,VILA DA AMIZADE
10408,4311403,QUADRA DE SOUZA,904,TREVO
10409,4311429,PASSARELA DE MORAES,2507,VILA BATIK
10410,4311502,LOTEAMENTO DE RIBEIRO,2974,PARAÍSO
10411,4311601,TREVO DA MATA,4898,PARQUE SÃO JOSÉ
10412,4311627,DISTRITO DA ROSA,1527,TUPI A
10413,4311643,AEROPORTO BENJAMIN CARDOSO,334,UNIVERSITÁRIO
10414,4311700,TRECHO DAVI LUCAS DA ROSA,2282,ESTRELA
10415,4311718,PRAÇA DA PAZ,3210,CONCÓRDIA
10416,4311734,VEREDA PIRES,115,PIRATININGA
10417,4311759,VILA NUNES,1814,ALÍPIO DE MELO
10418,4311775,PRAÇA JOÃO LUCAS BARBOSA,2505,VILA INDEPENDENCIA 3ª SEÇÃO
10419,4311791,ESPLANADA ROCHA,4274,TEIXEIRA DIAS
10420,4311809,VILA DE DA MATA,2443,CONJUNTO BONSUCESSO
10421,4311908,LOTEAMENTO LUNA COSTA,640,SAUDADE
10422,4311981,RESIDENCIAL GABRIEL CAVALCANTI,3868,VILA OLHOS D'ÁGUA
10423,4312005,PARQUE DA PAZ,2464,NOSSA SENHORA DA CONCEIÇÃO
10424,4312054,ESPLANADA LORENZO DA PAZ,3719,TÚNEL DE IBIRITÉ
10425,4312104,PÁTIO DE PINTO,108,SÃO LUIZ
10426,4312138,ESTRADA DE DUARTE,865,APOLONIA
10427,4312153,LAGOA DE PORTO,3420,MARIA VIRGÍNIA
10428,4312179,SÍTIO JOÃO CASTRO,2974,SÃO FRANCISCO
10429,4312203,LARGO DE NOGUEIRA,3923,MARIA GORETTI
10430,4312252,PRAIA DE BARBOSA,2050,ANTONIO RIBEIRO DE ABREU 1ª SEÇÃO
10431,4312302,LAGOA DIEGO TEIXEIRA,3274,VILA COPASA
10432,4312351,VIADUTO DA ROCHA,4775,VILA OESTE
10433,4312377,LADEIRA LUIGI RODRIGUES,4011,VILA ENGENHO NOGUEIRA
10434,4312385,NÚCLEO KEVIN DAS NEVES,862,GRAJAÚ
10435,4312401,LAGO FARIAS,3571,HORTO FLORESTAL
10436,4312427,LADEIRA TEIXEIRA,377,SÃO JOÃO
10437,4312443,PÁTIO GONÇALVES,4613,VILA DE SÁ
10438,4312450,PÁTIO DIAS,290,BOA VISTA
10439,4312476,PASSARELA DE SILVEIRA,2309,CANADÁ
10440,4312500,RESIDENCIAL DA ROCHA,3153,VIRGÍNIA
10441,4312609,TRAVESSA DE FARIAS,76,VILA SÃO PAULO
10442,4312617,FAVELA DE MONTEIRO,2970,VILA MADRE GERTRUDES 4ª SEÇÃO
10443,4312625,NÚCLEO MARINA ROCHA,2981,MIRTES
10444,4312658,NÚCLEO DE VIANA,2840,MARIQUINHAS
10445,4312674,LADEIRA DA COSTA,4632,LAGOA
10446,4312708,RUA RAMOS,4925,SANTA ROSA
10447,4312757,CHÁCARA DE DA PAZ,2377,VILA SÃO GABRIEL
10448,4312807,TRECHO LUCAS SANTOS,1500,VISTA DO SOL
10449,4312906,PÁTIO DA LUZ,4098,PANTANAL
10450,4312955,ÁREA DE VIEIRA,145,BARRO PRETO
10451,4313003,ESTRADA DE LOPES,1524,JAQUELINE
10452,4313011,LAGOA LUIZ GUSTAVO PEIXOTO,1816,CONJUNTO SANTA MARIA
10453,4313037,RUA MARIA FERNANDA FARIAS,1875,NOVA CINTRA
10454,4313060,PÁTIO NOAH DAS NEVES,452,VILA NOVA DOS MILIONARIOS
10455,4313086,LAGO PIRES,3783,COLÉGIO BATISTA
10456,4313102,ESTAÇÃO RENAN DAS NEVES,4397,HAVAÍ
10457,4313201,LAGO DE MELO,2577,BELVEDERE
10458,4313300,VALE DA ROSA,1646,FLORAMAR
10459,4313334,JARDIM RAMOS,2360,NOVA ESPERANÇA
10460,4313359,PASSARELA DUARTE,1083,CAMPO ALEGRE
10461,4313375,MORRO LORENA AZEVEDO,2698,IPE
10462,4313391,MORRO DE FERNANDES,617,VIRGÍNIA
10463,4313409,AVENIDA LORENA DA COSTA,4234,ESTORIL
10464,4313425,LADEIRA DE SANTOS,3200,MARIANO DE ABREU
10465,4313441,JARDIM DE VIEIRA,3172,CONJUNTO SANTA MARIA
10466,4313466,SÍTIO DE PINTO,3141,CONJUNTO TAQUARIL
10467,4313490,SETOR LOPES,3843,FLORAMAR
10468,4313508,DISTRITO ALVES,2667,ANTONIO RIBEIRO DE ABREU 1ª SEÇÃO
10469,4313607,RECANTO KAIQUE FREITAS,1444,XANGRI-LÁ
10470,4313656,VEREDA CORREIA,2674,ANDIROBA
10471,4313706,PARQUE LUIZ HENRIQUE GONÇALVES,1508,NOVA GRANADA
10472,4313805,NÚCLEO PINTO,3132,BELMONTE
10473,4313904,CONJUNTO DE ARAÚJO,4231,VILA UNIÃO
10474,4313953,PRAÇA DE DA MOTA,1317,ADEMAR MALDONADO
10475,4314001,FAZENDA DE SILVA,3346,CDI JATOBA
10476,4314027,LAGO DE MARTINS,4420,VILA ATILA DE PAIVA
10477,4314035,CHÁCARA MARTINS,2626,ITATIAIA
10478,4314050,MORRO HENRIQUE DA COSTA,3116,SANTANA DO CAFEZAL
10479,4314068,LARGO DE FOGAÇA,4726,CIDADE JARDIM
10480,4314076,FAZENDA ANA BEATRIZ ROCHA,4678,VILA NOVA PARAÍSO
10481,4314100,CAMPO CARDOSO,4117,VILA OESTE
10482,4314134,LOTEAMENTO FARIAS,4909,ACAIACA
10483,4314159,PRAIA CUNHA,1730,ALTA TENSÃO 1ª SEÇÃO
10484,4314175,ESPLANADA CAMPOS,4821,FLORAMAR
10485,4314209,NÚCLEO PORTO,34,VILA ECOLÓGICA
10486,4314308,TRECHO DA CONCEIÇÃO,2511,VILA ATILA DE PAIVA
10487,4314407,CHÁCARA DE REZENDE,1359,APARECIDA
10488,4314423,LADEIRA DE CALDEIRA,4848,ESPLANADA
10489,4314456,ALAMEDA DE CALDEIRA,2204,BALEIA
10490,4314464,LOTEAMENTO PEREIRA,3527,JARDINÓPOLIS
10491,4314472,AEROPORTO DE VIANA,2947,VILA COPASA
10492,4314498,VIA ARTHUR MORAES,997,SÃO PEDRO
10493,4314506,PRAIA CAVALCANTI,1627,AMBROSINA
10494,4314548,RESIDENCIAL REZENDE,3003,SANTA BRANCA
10495,4314555,SÍTIO PORTO,2372,VILA DE SÁ
10496,4314605,LOTEAMENTO CARDOSO,4879,DOM SILVERIO
10497,4314704,ÁREA REBECA ALMEIDA,2497,VILA NOVA GAMELEIRA 3ª SEÇÃO
10498,4314753,TRAVESSA CATARINA CASTRO,4961,ACABA MUNDO
10499,4314779,ESTRADA DE OLIVEIRA,3859,DELTA
10500,4314787,VIADUTO FERNANDES,1174,GROTA
10501,4314803,LOTEAMENTO MOURA,3715,VILA UNIÃO
10502,4314902,TREVO DE COSTELA,3203,DAS INDUSTRIAS I
10503,4315008,SETOR MAYSA CAMPOS,2440,CAMARGOS
10504,4315057,SÍTIO DE FOGAÇA,975,VILA NOVA CACHOEIRINHA 3ª SEÇÃO
10505,4315073,CONDOMÍNIO ALMEIDA,3830,GRANJA DE FREITAS
10506,4315107,DISTRITO GONÇALVES,4561,FLORAMAR
10507,4315131,PÁTIO DE MENDES,2501,EMBAÚBAS
10508,4315149,VALE DE CALDEIRA,3883,VILA PAQUETÁ
10509,4315156,SÍTIO DE COSTA,2795,BURITIS
10510,4315172,ESTAÇÃO MARIA CLARA DA LUZ,2111,NOSSA SENHORA DA CONCEIÇÃO
10511,4315206,RECANTO NUNES,2600,CARDOSO
10512,4315305,SÍTIO LARA ARAGÃO,1519,VILA SUZANA SEGUNDA SEÇÃO
10513,4315313,FEIRA AZEVEDO,1602,ALTO BARROCA
10514,4315321,RECANTO DE CARDOSO,3452,VILA CANTO DO SABIÁ
10515,4315354,FEIRA DE MORAES,2823,CALAFATE
10516,4315404,RESIDENCIAL DE ROCHA,4746,OURO PRETO
10517,4315453,RODOVIA VITOR GABRIEL ALMEIDA,4972,CONFISCO
10518,4315503,SÍTIO DE DIAS,4380,SOLIMOES
10519,4315552,DISTRITO CUNHA,3229,ALTO VERA CRUZ
10520,4315602,SÍTIO DE AZEVEDO,3704,NOVO GLÓRIA
10521,4315701,LADEIRA CAMILA SALES,262,SÃO BENEDITO
10522,4315750,LOTEAMENTO DE NUNES,4699,DIAMANTE
10523,4315800,TREVO DE ARAÚJO,727,SÃO JOSÉ
10524,4315909,MORRO BENJAMIN DA MATA,4202,BARREIRO
10525,4315958,PARQUE JESUS,4247,BOA VIAGEM
10526,4316006,ESTAÇÃO PEREIRA,1255,UNIÃO
10527,4316105,PRAIA NOGUEIRA,1075,MONTE SÃO JOSÉ
10528,4316204,PASSARELA DE DA ROCHA,1290,LORENA
10529,4316303,FAVELA NOVAES,2895,VILA TIROL
10530,4316402,VILA DA CUNHA,1945,LINDÉIA
10531,4316428,AEROPORTO THALES SALES,1430,BURITIS
10532,4316436,ESPLANADA DE MARTINS,1484,CABANA DO PAI TOMÁS
10533,4316451,ESPLANADA ALANA DA MOTA,2413,PAQUETÁ
10534,4316477,CONJUNTO ALEXANDRE GONÇALVES,2267,MADRI
10535,4316501,CAMPO DE DA COSTA,946,NOVO SANTA CECILIA
10536,4316600,ALAMEDA RAUL GONÇALVES,4910,MONTE SÃO JOSÉ
10537,4316709,SÍTIO RAMOS,4317,BARÃO HOMEM DE MELO 2ª SEÇÃO
10538,4316733,PASSARELA FARIAS,1982,VILA JARDIM MONTANHES
10539,4316758,SETOR MURILO ALVES,406,BOA VIAGEM
10540,4316808,ESPLANADA TEIXEIRA,1813,SÃO CRISTÓVÃO
10541,4316907,LADEIRA JOÃO FELIPE CUNHA,150,GROTA
10542,4316956,ÁREA PEREIRA,1252,VILA SÃO DIMAS
10543,4316972,MORRO BARROS,1652,CAIÇARAS
10544,4317004,ALAMEDA DE TEIXEIRA,1183,PINDURA SAIA
10545,4317103,RECANTO EMILLY JESUS,2658,VILA OURO MINAS
10546,4317202,LAGOA VIANA,483,PRIMEIRO DE MAIO
10547,4317251,LARGO DA CUNHA,4133,MINASLANDIA
10548,4317301,VILA ALMEIDA,1172,CDI JATOBA
10549,4317400,COLÔNIA DE COSTELA,4488,NOSSA SENHORA DA CONCEIÇÃO
10550,4317509,VILA ISAAC PIRES,1473,CARDOSO
10551,4317558,ALAMEDA SARAH DA ROSA,1789,SANTA SOFIA
10552,4317608,QUADRA STEPHANY CAMPOS,1852,JULIANA
10553,4317707,ALAMEDA DANILO SILVEIRA,2745,VILA CALIFÓRNIA
10554,4317756,VIA ANA LÍVIA DIAS,268,XODO-MARIZE
10555,4317806,TRECHO PEDRO MORAES,3439,ALÍPIO DE MELO
10556,4317905,VEREDA CALDEIRA,3833,CAMPONESA 1ª SEÇÃO
10557,4317954,DISTRITO DE ALMEIDA,1609,VILA NOSSA SENHORA DO ROSÁRIO
10558,4318002,JARDIM DE DUARTE,4150,SÃO GERALDO
10559,4318051,VIELA LETÍCIA FREITAS,94,ALTO VERA CRUZ
10560,4318101,FEIRA LARISSA PEREIRA,2201,BEIJA FLOR
10561,4318200,PRAÇA DE DA MATA,4530,FREI LEOPOLDO
10562,4318309,PRAIA DE GONÇALVES,2411,GRANJA DE FREITAS
10563,4318408,CONDOMÍNIO RAQUEL BARBOSA,4414,LIBERDADE
10564,4318424,CAMPO DE PINTO,3341,NOSSA SENHORA DE FÁTIMA
10565,4318432,VIELA DE VIEIRA,4294,NOVA PAMPULHA
10566,4318440,LADEIRA ROCHA,4491,BERNADETE
10567,4318457,PRAIA GABRIEL DAS NEVES,2737,VILA JARDIM LEBLON
10568,4318465,ESPLANADA DE TEIXEIRA,302,VILA SESC
10569,4318481,VIA MIRELLA DA COSTA,2088,CONJUNTO CALIFÓRNIA II
10570,4318499,PÁTIO JOÃO MIGUEL NASCIMENTO,574,SÃO PEDRO
10571,4318507,RESIDENCIAL ANA JÚLIA DUARTE,4243,BURITIS
10572,4318606,PRAÇA ANTHONY SANTOS,964,VILA SANTA MONICA 2ª SEÇÃO
10573,4318614,LOTEAMENTO JOANA FOGAÇA,2665,COPACABANA
10574,4318622,PÁTIO DE RODRIGUES,1865,SANTA CRUZ
10575,4318705,FAVELA MORAES,4815,CANAA
10576,4318804,PRAIA FARIAS,2273,VILA CANTO DO SABIÁ
10577,4318903,RESIDENCIAL SALES,4038,MINEIRÃO
10578,4319000,ESTAÇÃO SANTOS,2893,HORTO FLORESTAL
10579,4319109,VIELA DAVI LUIZ NOGUEIRA,2716,PETROPOLIS
10580,4319125,COLÔNIA JESUS,2702,ITAIPU
10581,4319158,FEIRA MAYSA PEIXOTO,3706,ETELVINA CARNEIRO
10582,4319208,LAGO DE FREITAS,3468,VILA CLORIS
10583,4319307,COLÔNIA DE SILVEIRA,2670,MANACAS
10584,4319356,CONDOMÍNIO DE VIANA,2577,VILA PETROPOLIS
10585,4319364,NÚCLEO LUCCA GOMES,1310,APOLONIA
10586,4319372,LAGO DE RODRIGUES,3409,FLORAMAR
10587,4319406,SÍTIO CAVALCANTI,1511,ESPERANÇA
10588,4319505,SETOR DE DA CONCEIÇÃO,395,JARDIM ALVORADA
10589,4319604,FEIRA LUCCA FERNANDES,4993,LAGOINHA LEBLON
10590,4319703,AEROPORTO LIMA,4990,VILA PETROPOLIS
10591,4319711,ALAMEDA DE CORREIA,2214,XODO-MARIZE
10592,4319737,NÚCLEO JÚLIA PINTO,2842,ALTO CAIÇARAS
10593,4319752,VILA BARROS,4234,CACHOEIRINHA
10594,4319802,CAMPO BENJAMIN RIBEIRO,3200,LAGOA
10595,4319901,LAGO SANTOS,818,NOSSA SENHORA DA CONCEIÇÃO
10596,4320008,ALAMEDA JULIA REZENDE,3335,CONJUNTO CELSO MACHADO
10597,4320107,SÍTIO DE TEIXEIRA,4215,NOSSA SENHORA DE FÁTIMA
10598,4320206,SETOR RAUL DUARTE,2118,MILIONARIO
10599,4320230,RECANTO LUCCA BARROS,3188,CUSTODINHA
10600,4320263,VILA GUILHERME DA COSTA,4981,VILA PARAÍSO
10601,4320305,ALAMEDA DE DA CRUZ,2926,COPACABANA
10602,4320321,PÁTIO RAMOS,4326,SERRANO
10603,4320354,FAZENDA MAYSA AZEVEDO,3286,SÃO JOÃO BATISTA
10604,4320404,LAGOA DE FERREIRA,1873,MARAVILHA
10605,4320453,CONJUNTO MELO,158,SUZANA
10606,4320503,CONDOMÍNIO DE NOGUEIRA,2195,BALEIA
10607,4320552,RUA FRANCISCO RAMOS,3302,GUARANI
10608,4320578,LAGOA MARTINS,2120,PRADO
10609,4320602,QUADRA VITOR VIANA,3485,SANTA TEREZINHA
10610,4320651,ALAMEDA DE REZENDE,4510,COMITECO
10611,4320677,LADEIRA DE NUNES,4943,SOLAR DO BARREIRO
10612,4320701,FAVELA DE NOVAES,1497,POUSADA SANTO ANTONIO
10613,4320800,VILA DAVI LUCAS DA MOTA,3223,BANDEIRANTES
10614,4320859,TREVO LUIZ OTÁVIO DA CONCEIÇÃO,2568,VILA NOVA GAMELEIRA 2ª SEÇÃO
10615,4320909,PASSARELA VICENTE MARTINS,178,CONJUNTO JATOBA
10616,4321006,TRECHO DE COSTA,1995,VILA CALAFATE
10617,4321105,VILA MORAES,4360,VILA CALIFÓRNIA
10618,4321204,SÍTIO ARTHUR TEIXEIRA,414,URCA
10619,4321303,MORRO DE NOVAES,2852,VILA BETÂNIA
10620,4321329,PRAIA DE MOREIRA,4268,LINDÉIA
10621,4321352,PRAÇA PIRES,2043,MARAVILHA
10622,4321402,LAGOA ROCHA,2942,SANTA INÊS
10623,4321436,ESPLANADA DE ROCHA,2007,ALTO VERA CRUZ
10624,4321451,FAVELA VALENTINA COSTA,2663,VILA CLORIS
10625,4321469,DISTRITO DE COSTELA,2735,POUSADA SANTO ANTONIO
10626,4321477,RECANTO DE MOREIRA,3564,VILA MADRE GERTRUDES 4ª SEÇÃO
10627,4321493,ESTAÇÃO OLIVIA CAMPOS,4180,VILA BOA VISTA
10628,4321501,DISTRITO DE CALDEIRA,3671,SANTO ANTÔNIO
10629,4321600,VIA DE MOREIRA,3940,VILA ESPLANADA
10630,4321626,PRAIA DE NOGUEIRA,1236,ESPERANÇA
10631,4321634,SÍTIO JOANA MELO,471,ALTA TENSÃO 2ª SEÇÃO
10632,4321667,MORRO DE SILVA,370,SÃO FRANCISCO
10633,4321709,JARDIM DE CALDEIRA,259,SANTA INÊS
10634,4321808,AVENIDA DE NOVAES,4402,VILA ANTENA
10635,4321832,PRAÇA DA CRUZ,2702,VILA INDEPENDENCIA 3ª SEÇÃO
10636,4321857,RUA GUILHERME ROCHA,2903,BANDEIRANTES
10637,4321907,CAMPO LUIZ FERNANDO NUNES,3310,VILA AEROPORTO JARAGUÁ
10638,4321956,MORRO MOREIRA,2064,CALAFATE
10639,4322004,SÍTIO VIANA,2866,MARIA GORETTI
10640,4322103,RUA RIBEIRO,4226,TÚNEL DE IBIRITÉ
10641,4322152,VIADUTO FERREIRA,4890,ZILAH SPOSITO
